P,Q,Res P,Res Q
13,2297,13,17
17,2293,17,13
23,2287,23,7
29,2281,29,1
37,2273,7,23
41,2269,11,19
43,2267,13,17
59,2251,29,1
67,2243,7,23
71,2239,11,19
73,2237,13,17
89,2221,29,1
97,2213,7,23
103,2207,13,17
107,2203,17,13
131,2179,11,19
149,2161,29,1
157,2153,7,23
167,2143,17,13
173,2137,23,7
179,2131,29,1
181,2129,1,29
197,2113,17,13
199,2111,19,11
211,2099,1,29
223,2087,13,17
227,2083,17,13
229,2081,19,11
241,2069,1,29
257,2053,17,13
271,2039,1,29
281,2029,11,19
283,2027,13,17
293,2017,23,7
307,2003,7,23
311,1999,11,19
313,1997,13,17
317,1993,17,13
331,1979,1,29
337,1973,7,23
359,1951,29,1
379,1931,19,11
397,1913,7,23
409,1901,19,11
421,1889,1,29
431,1879,11,19
433,1877,13,17
439,1871,19,11
443,1867,23,7
449,1861,29,1
463,1847,13,17
479,1831,29,1
487,1823,7,23
499,1811,19,11
509,1801,29,1
521,1789,11,19
523,1787,13,17
557,1753,17,13
563,1747,23,7
569,1741,29,1
577,1733,7,23
587,1723,17,13
601,1709,1,29
613,1697,13,17
617,1693,17,13
641,1669,11,19
643,1667,13,17
647,1663,17,13
653,1657,23,7
673,1637,13,17
683,1627,23,7
691,1619,1,29
701,1609,11,19
709,1601,19,11
727,1583,7,23
739,1571,19,11
743,1567,23,7
751,1559,1,29
757,1553,7,23
761,1549,11,19
787,1523,7,23
811,1499,1,29
821,1489,11,19
823,1487,13,17
827,1483,17,13
829,1481,19,11
839,1471,29,1
857,1453,17,13
859,1451,19,11
863,1447,23,7
877,1433,7,23
881,1429,11,19
883,1427,13,17
887,1423,17,13
911,1399,11,19
929,1381,29,1
937,1373,7,23
983,1327,23,7
991,1319,1,29
1009,1301,19,11
1013,1297,23,7
1019,1291,29,1
1021,1289,1,29
1031,1279,11,19
1033,1277,13,17
1051,1259,1,29
1061,1249,11,19
1087,1223,7,23
1093,1217,13,17
1097,1213,17,13
1109,1201,29,1
1117,1193,7,23
1123,1187,13,17
1129,1181,19,11
