N,P,Q,Res P,Res Q
9234800,37,9234763,7,13
9234800,73,9234727,13,7
9234800,103,9234697,13,7
9234800,151,9234649,1,19
9234800,181,9234619,1,19
9234800,199,9234601,19,1
9234800,271,9234529,1,19
9234800,283,9234517,13,7
9234800,307,9234493,7,13
9234800,313,9234487,13,7
9234800,331,9234469,1,19
9234800,397,9234403,7,13
9234800,409,9234391,19,1
9234800,433,9234367,13,7
9234800,571,9234229,1,19
9234800,577,9234223,7,13
9234800,661,9234139,1,19
9234800,733,9234067,13,7
9234800,787,9234013,7,13
9234800,877,9233923,7,13
9234800,919,9233881,19,1
9234800,1033,9233767,13,7
9234800,1129,9233671,19,1
9234800,1483,9233317,13,7
9234800,1489,9233311,19,1
9234800,1531,9233269,1,19
9234800,1567,9233233,7,13
9234800,1621,9233179,1,19
9234800,1627,9233173,7,13
9234800,1753,9233047,13,7
9234800,1759,9233041,19,1
9234800,1861,9232939,1,19
9234800,1951,9232849,1,19
9234800,1993,9232807,13,7
9234800,2089,9232711,19,1
9234800,2131,9232669,1,19
9234800,2221,9232579,1,19
9234800,2251,9232549,1,19
9234800,2293,9232507,13,7
9234800,2341,9232459,1,19
9234800,2371,9232429,1,19
9234800,2557,9232243,7,13
9234800,2683,9232117,13,7
9234800,2749,9232051,19,1
9234800,2887,9231913,7,13
9234800,2971,9231829,1,19
9234800,3049,9231751,19,1
9234800,3079,9231721,19,1
9234800,3163,9231637,13,7
9234800,3169,9231631,19,1
9234800,3181,9231619,1,19
9234800,3229,9231571,19,1
9234800,3343,9231457,13,7
9234800,3373,9231427,13,7
9234800,3469,9231331,19,1
9234800,3499,9231301,19,1
9234800,3547,9231253,7,13
9234800,3583,9231217,13,7
9234800,3709,9231091,19,1
9234800,3733,9231067,13,7
9234800,3769,9231031,19,1
9234800,3847,9230953,7,13
9234800,3889,9230911,19,1
9234800,3931,9230869,1,19
9234800,4027,9230773,7,13
9234800,4057,9230743,7,13
9234800,4093,9230707,13,7
9234800,4177,9230623,7,13
9234800,4339,9230461,19,1
9234800,4357,9230443,7,13
9234800,4363,9230437,13,7
9234800,4483,9230317,13,7
9234800,4507,9230293,7,13
9234800,4561,9230239,1,19
9234800,4591,9230209,1,19
9234800,4597,9230203,7,13
9234800,4639,9230161,19,1
9234800,4723,9230077,13,7
9234800,4861,9229939,1,19
9234800,5011,9229789,1,19
9234800,5059,9229741,19,1
9234800,5101,9229699,1,19
9234800,5179,9229621,19,1
9234800,5197,9229603,7,13
9234800,5407,9229393,7,13
9234800,5431,9229369,1,19
9234800,5563,9229237,13,7
9234800,5623,9229177,13,7
9234800,5647,9229153,7,13
9234800,5689,9229111,19,1
9234800,5743,9229057,13,7
