N cible,Premier P,Premier Q,Residu P,Residu Q,Densite G
32348,7,32341,7,1,0.006924693953258316
32348,97,32251,7,1,0.006924693953258316
32348,157,32191,7,1,0.006924693953258316
32348,229,32119,19,19,0.006924693953258316
32348,271,32077,1,7,0.006924693953258316
32348,367,31981,7,1,0.006924693953258316
32348,457,31891,7,1,0.006924693953258316
32348,499,31849,19,19,0.006924693953258316
32348,577,31771,7,1,0.006924693953258316
32348,607,31741,7,1,0.006924693953258316
32348,619,31729,19,19,0.006924693953258316
32348,661,31687,1,7,0.006924693953258316
32348,691,31657,1,7,0.006924693953258316
32348,859,31489,19,19,0.006924693953258316
32348,991,31357,1,7,0.006924693953258316
32348,1021,31327,1,7,0.006924693953258316
32348,1117,31231,7,1,0.006924693953258316
32348,1129,31219,19,19,0.006924693953258316
32348,1171,31177,1,7,0.006924693953258316
32348,1201,31147,1,7,0.006924693953258316
32348,1279,31069,19,19,0.006924693953258316
32348,1297,31051,7,1,0.006924693953258316
32348,1399,30949,19,19,0.006924693953258316
32348,1489,30859,19,19,0.006924693953258316
32348,1531,30817,1,7,0.006924693953258316
32348,1567,30781,7,1,0.006924693953258316
32348,1621,30727,1,7,0.006924693953258316
32348,1699,30649,19,19,0.006924693953258316
32348,1789,30559,19,19,0.006924693953258316
32348,1831,30517,1,7,0.006924693953258316
32348,1879,30469,19,19,0.006924693953258316
32348,2029,30319,19,19,0.006924693953258316
32348,2089,30259,19,19,0.006924693953258316
32348,2137,30211,7,1,0.006924693953258316
32348,2161,30187,1,7,0.006924693953258316
32348,2179,30169,19,19,0.006924693953258316
32348,2239,30109,19,19,0.006924693953258316
32348,2251,30097,1,7,0.006924693953258316
32348,2389,29959,19,19,0.006924693953258316
32348,2467,29881,7,1,0.006924693953258316
32348,2677,29671,7,1,0.006924693953258316
32348,2707,29641,7,1,0.006924693953258316
32348,2719,29629,19,19,0.006924693953258316
32348,2749,29599,19,19,0.006924693953258316
32348,2767,29581,7,1,0.006924693953258316
32348,3001,29347,1,7,0.006924693953258316
32348,3037,29311,7,1,0.006924693953258316
32348,3061,29287,1,7,0.006924693953258316
32348,3079,29269,19,19,0.006924693953258316
32348,3169,29179,19,19,0.006924693953258316
32348,3181,29167,1,7,0.006924693953258316
32348,3217,29131,7,1,0.006924693953258316
32348,3271,29077,1,7,0.006924693953258316
32348,3331,29017,1,7,0.006924693953258316
32348,3469,28879,19,19,0.006924693953258316
32348,3511,28837,1,7,0.006924693953258316
32348,3541,28807,1,7,0.006924693953258316
32348,3559,28789,19,19,0.006924693953258316
32348,3637,28711,7,1,0.006924693953258316
32348,3691,28657,1,7,0.006924693953258316
32348,3727,28621,7,1,0.006924693953258316
32348,3769,28579,19,19,0.006924693953258316
32348,3919,28429,19,19,0.006924693953258316
32348,4051,28297,1,7,0.006924693953258316
32348,4129,28219,19,19,0.006924693953258316
32348,4261,28087,1,7,0.006924693953258316
32348,4297,28051,7,1,0.006924693953258316
32348,4447,27901,7,1,0.006924693953258316
32348,4549,27799,19,19,0.006924693953258316
32348,4597,27751,7,1,0.006924693953258316
32348,4651,27697,1,7,0.006924693953258316
32348,4657,27691,7,1,0.006924693953258316
32348,4861,27487,1,7,0.006924693953258316
32348,4951,27397,1,7,0.006924693953258316
32348,4987,27361,7,1,0.006924693953258316
