P,Q,Res P,Res Q
31,92317,1,7
37,92311,7,1
79,92269,19,19
97,92251,7,1
127,92221,7,1
229,92119,19,19
241,92107,1,7
271,92077,1,7
307,92041,7,1
379,91969,19,19
397,91951,7,1
409,91939,19,19
439,91909,19,19
541,91807,1,7
547,91801,7,1
577,91771,7,1
709,91639,19,19
727,91621,7,1
757,91591,7,1
937,91411,7,1
967,91381,7,1
1039,91309,19,19
1051,91297,1,7
1249,91099,19,19
1447,90901,7,1
1669,90679,19,19
1801,90547,1,7
1867,90481,7,1
1879,90469,19,19
1951,90397,1,7
2131,90217,1,7
2161,90187,1,7
2221,90127,1,7
2281,90067,1,7
2341,90007,1,7
2347,90001,7,1
2371,89977,1,7
2389,89959,19,19
2539,89809,19,19
2551,89797,1,7
2659,89689,19,19
2677,89671,7,1
2689,89659,19,19
2749,89599,19,19
2857,89491,7,1
2917,89431,7,1
3019,89329,19,19
3079,89269,19,19
3121,89227,1,7
3229,89119,19,19
3307,89041,7,1
3331,89017,1,7
3529,88819,19,19
3541,88807,1,7
3547,88801,7,1
3559,88789,19,19
3607,88741,7,1
3691,88657,1,7
3697,88651,7,1
3739,88609,19,19
3877,88471,7,1
4021,88327,1,7
4027,88321,7,1
4111,88237,1,7
4219,88129,19,19
4231,88117,1,7
4357,87991,7,1
4597,87751,7,1
4651,87697,1,7
4657,87691,7,1
4759,87589,19,19
4789,87559,19,19
4801,87547,1,7
4831,87517,1,7
5011,87337,1,7
5167,87181,7,1
5197,87151,7,1
5227,87121,7,1
5419,86929,19,19
5479,86869,19,19
5581,86767,1,7
5659,86689,19,19
5749,86599,19,19
5839,86509,19,19
5857,86491,7,1
5881,86467,1,7
6007,86341,7,1
6037,86311,7,1
6079,86269,19,19
6091,86257,1,7
6151,86197,1,7
6211,86137,1,7
6217,86131,7,1
6271,86077,1,7
6337,86011,7,1
6529,85819,19,19
6637,85711,7,1
6679,85669,19,19
6709,85639,19,19
6967,85381,7,1
7321,85027,1,7
7369,84979,19,19
7477,84871,7,1
7489,84859,19,19
7537,84811,7,1
7561,84787,1,7
7699,84649,19,19
7717,84631,7,1
7759,84589,19,19
7789,84559,19,19
7867,84481,7,1
7927,84421,7,1
8101,84247,1,7
8167,84181,7,1
8221,84127,1,7
8287,84061,7,1
8629,83719,19,19
8647,83701,7,1
8707,83641,7,1
8731,83617,1,7
8941,83407,1,7
9007,83341,7,1
9049,83299,19,19
9091,83257,1,7
9127,83221,7,1
9277,83071,7,1
9511,82837,1,7
9619,82729,19,19
9649,82699,19,19
9697,82651,7,1
9739,82609,19,19
9781,82567,1,7
9787,82561,7,1
9817,82531,7,1
10009,82339,19,19
10069,82279,19,19
10111,82237,1,7
10141,82207,1,7
10159,82189,19,19
10177,82171,7,1
10429,81919,19,19
10501,81847,1,7
10531,81817,1,7
10711,81637,1,7
10729,81619,19,19
10789,81559,19,19
10831,81517,1,7
10891,81457,1,7
10909,81439,19,19
10939,81409,19,19
11149,81199,19,19
11251,81097,1,7
11299,81049,19,19
11317,81031,7,1
11329,81019,19,19
11437,80911,7,1
11587,80761,7,1
11677,80671,7,1
11719,80629,19,19
11821,80527,1,7
11941,80407,1,7
12007,80341,7,1
12097,80251,7,1
12109,80239,19,19
12157,80191,7,1
12241,80107,1,7
12277,80071,7,1
12409,79939,19,19
12487,79861,7,1
12547,79801,7,1
12721,79627,1,7
12739,79609,19,19
12799,79549,19,19
13147,79201,7,1
13309,79039,19,19
13567,78781,7,1
13627,78721,7,1
13807,78541,7,1
13831,78517,1,7
13921,78427,1,7
14071,78277,1,7
14107,78241,7,1
14341,78007,1,7
14419,77929,19,19
14449,77899,19,19
14551,77797,1,7
14629,77719,19,19
14731,77617,1,7
14737,77611,7,1
14779,77569,19,19
14797,77551,7,1
14821,77527,1,7
14827,77521,7,1
14869,77479,19,19
14929,77419,19,19
15031,77317,1,7
15307,77041,7,1
15319,77029,19,19
15331,77017,1,7
15511,76837,1,7
15787,76561,7,1
15877,76471,7,1
15907,76441,7,1
16087,76261,7,1
16141,76207,1,7
16189,76159,19,19
16249,76099,19,19
16267,76081,7,1
16369,75979,19,19
16381,75967,1,7
16411,75937,1,7
16417,75931,7,1
16561,75787,1,7
16567,75781,7,1
16729,75619,19,19
16981,75367,1,7
17011,75337,1,7
17041,75307,1,7
17137,75211,7,1
17167,75181,7,1
17239,75109,19,19
17389,74959,19,19
17419,74929,19,19
17491,74857,1,7
17551,74797,1,7
17569,74779,19,19
17737,74611,7,1
17761,74587,1,7
17827,74521,7,1
17839,74509,19,19
17929,74419,19,19
17971,74377,1,7
18061,74287,1,7
18181,74167,1,7
18199,74149,19,19
18217,74131,7,1
18301,74047,1,7
18397,73951,7,1
18451,73897,1,7
18481,73867,1,7
18787,73561,7,1
18979,73369,19,19
19207,73141,7,1
19309,73039,19,19
19417,72931,7,1
19441,72907,1,7
19447,72901,7,1
19477,72871,7,1
19489,72859,19,19
19531,72817,1,7
19609,72739,19,19
19687,72661,7,1
19699,72649,19,19
19801,72547,1,7
19867,72481,7,1
19927,72421,7,1
20011,72337,1,7
20071,72277,1,7
20407,71941,7,1
20431,71917,1,7
20641,71707,1,7
20929,71419,19,19
20959,71389,19,19
21001,71347,1,7
21019,71329,19,19
21031,71317,1,7
21061,71287,1,7
21139,71209,19,19
21157,71191,7,1
21187,71161,7,1
21379,70969,19,19
21391,70957,1,7
21397,70951,7,1
21481,70867,1,7
21499,70849,19,19
21661,70687,1,7
21727,70621,7,1
21799,70549,19,19
21841,70507,1,7
21859,70489,19,19
21997,70351,7,1
22027,70321,7,1
22039,70309,19,19
22051,70297,1,7
22111,70237,1,7
22147,70201,7,1
22171,70177,1,7
22501,69847,1,7
22639,69709,19,19
22651,69697,1,7
22921,69427,1,7
23011,69337,1,7
23197,69151,7,1
23431,68917,1,7
23557,68791,7,1
23581,68767,1,7
23599,68749,19,19
23689,68659,19,19
23767,68581,7,1
23827,68521,7,1
23857,68491,7,1
23899,68449,19,19
23911,68437,1,7
23977,68371,7,1
24019,68329,19,19
24109,68239,19,19
24121,68227,1,7
24391,67957,1,7
24421,67927,1,7
24481,67867,1,7
24547,67801,7,1
24571,67777,1,7
24697,67651,7,1
24781,67567,1,7
24859,67489,19,19
24919,67429,19,19
24979,67369,19,19
25087,67261,7,1
25117,67231,7,1
25219,67129,19,19
25471,66877,1,7
25609,66739,19,19
25747,66601,7,1
25819,66529,19,19
25849,66499,19,19
26449,65899,19,19
26497,65851,7,1
